sensor-left,sensor-front,sensor-right,direction
sensor-left,sensor-front,sensor-right,direction
10.44748,0,11.69553,176.8615
10.48747,0,11.65803,176.7472
10.53063,0,11.61852,176.5865
10.57762,0,11.57657,176.3767
10.57762,0,11.57657,176.3767
10.62911,0,11.53176,176.1161
10.68572,0,11.48369,175.8062
10.74813,0,11.43198,175.4482
10.81705,0,11.37627,175.0414
10.89319,0,11.31623,174.5871
10.89319,0,11.31623,174.5871
10.97732,0,11.25154,174.0851
11.07022,0,11.18186,173.5369
11.17274,0,11.10688,172.9429
11.28568,0,11.02633,172.3035
11.40996,0,10.93987,171.6197
11.40996,0,10.93987,171.6197
11.5465,0,10.84723,170.8921
11.69622,0,10.74808,170.1224
11.86008,0,10.6421,169.3121
12.03911,0,10.52894,168.4626
12.23422,0,10.40832,167.5758
12.44637,0,10.27993,166.6537
12.44637,0,10.27993,166.6537
12.66967,0,10.14349,165.6981
12.85231,0,9.998547,164.7102
13.04886,0,9.844734,163.6919
13.21898,0,9.681667,162.6453
13.40258,0,9.508886,161.5723
13.5618,0,9.325914,160.4746
13.5618,0,9.325914,160.4746
13.73232,0,9.132187,159.3533
13.88247,0,8.926929,158.2091
14.04023,0,8.709353,157.0432
14.1831,0,8.508627,155.8574
14.32804,0,8.319994,154.6533
14.32804,0,8.319994,154.6533
14.46505,0,8.11836,153.4324
14.59715,0,7.951064,152.1965
14.72934,0,7.779067,150.9476
14.8484,0,7.604113,149.6871
14.97671,0,7.459507,148.4163
15.08279,0,7.30188,147.1358
15.08279,0,7.30188,147.1358
15.20262,0,7.159312,145.8447
15.30173,0,7.027317,144.5435
15.40886,0,6.881793,143.2314
15.50673,0,6.769383,141.9093
15.60125,0,6.647941,140.576
15.60125,0,6.647941,140.576
15.69903,0,6.527807,139.2292
15.7812,0,6.429141,137.8699
15.87599,0,6.316468,136.4998
15.94924,0,6.225137,135.1177
16.03078,0,6.134597,133.7247
16.03078,0,6.134597,133.7247
16.10582,0,6.036051,132.3153
16.1742,0,5.967005,130.8898
16.25227,0,5.883512,129.4493
16.30703,0,5.812811,127.9919
16.37459,0,5.750169,126.519
16.43633,0,5.672627,125.029
16.43633,0,5.672627,125.029
16.48541,0,5.629935,123.5202
16.53458,0,5.573059,121.9945
16.58363,0,5.522606,120.4506
16.63033,0,5.486621,118.8878
16.66331,0,5.43509,117.3056
16.66331,0,5.43509,117.3056
16.69544,0,5.413378,115.704
16.72644,0,5.38308,114.085
16.75613,0,5.353194,112.4486
16.77193,0,5.344867,110.7951
16.78327,0,5.320429,109.1249
16.79257,0,5.320344,107.4404
16.79257,0,5.320344,107.4404
16.79981,0,5.318723,105.7405
16.79984,0,5.309052,104.0276
16.7873,0,5.331272,102.3027
16.77243,0,5.337039,100.5681
16.75547,0,5.357211,98.82477
16.75547,0,5.357211,98.82477
16.73677,0,5.387794,97.07385
16.70123,0,5.401849,95.31766
16.66255,0,5.451349,93.55728
16.62306,0,5.491136,91.79395
16.5834,0,5.524932,90.03003
16.52706,0,5.589615,88.26669
16.52706,0,5.589615,88.26669
16.46426,0,5.637836,86.50531
16.39986,0,5.686803,84.74826
16.33442,0,5.75718,82.9968
16.25259,0,5.811324,81.2532
16.16826,0,5.872118,79.51874
16.16826,0,5.872118,79.51874
16.08537,0,5.946287,77.79459
16.00359,0,6.00454,76.08298
15.90617,0,6.074558,74.38608
15.81238,0,6.151216,72.70432
15.72277,0,6.212383,71.0397
15.62789,0,6.289918,69.39215
15.62789,0,6.289918,69.39215
15.52842,0,6.368316,67.76117
15.43479,0,6.431581,66.14883
15.34375,0,6.515742,64.55688
15.24235,0,6.595737,62.98706
15.1479,0,6.661055,61.4382
15.1479,0,6.661055,61.4382
14.95873,0,6.834126,58.39923
14.95873,0,6.834126,58.39923
14.8653,0,6.902146,56.90979
14.77863,0,7.000948,55.44254
14.67889,0,7.085783,53.99893
14.58708,0,7.163704,52.57773
14.49912,0,7.266677,51.1803
14.49912,0,7.266677,51.1803
14.39766,0,7.356162,49.80566
14.31327,0,7.447164,48.45514
14.21113,0,7.556624,47.12787
14.1216,0,7.653144,45.82504
14.02144,0,7.761679,44.54611
14.02144,0,7.761679,44.54611
13.92603,0,7.880615,43.29071
13.8258,0,7.987133,42.05984
13.72361,0,8.11904,40.85339
13.62121,0,8.251133,39.67133
13.51127,0,8.372754,38.51367
13.51127,0,8.372754,38.51367
13.40451,0,8.534123,37.3801
13.28568,0,8.683858,36.27142
13.17233,0,8.842052,35.18817
13.04347,0,9.025846,34.13074
12.92126,0,9.198538,33.09961
12.78132,0,9.404764,32.09518
12.64798,0,9.616968,31.11789
12.64798,0,9.616968,31.11789
12.49605,0,9.828866,30.16791
12.34926,0,10.08723,29.24567
12.18434,0,10.33531,28.35159
12.02163,0,10.62194,27.48608
11.84278,0,10.92485,26.64978
11.84278,0,10.92485,26.64978
11.66175,0,11.2291,25.84351
11.46821,0,11.56295,25.06778
11.26645,0,11.88789,24.32318
11.05757,0,12.20462,23.61029
10.83264,0,12.51379,22.92978
10.83264,0,12.51379,22.92978
10.60797,0,12.81611,22.28296
10.35741,0,13.11216,21.6702
10.11659,0,13.40254,21.09195
9.837813,0,13.68767,20.54868
9.570194,0,13.96802,20.04092
9.570194,0,13.96802,20.04092
9.27156,0,14.24415,19.57019
8.972709,0,14.51663,19.13675
8.663914,0,14.78591,18.74075
8.346192,0,15.0524,18.38254
8.037248,0,15.31652,18.06247
8.037248,0,15.31652,18.06247
7.73637,0,15.57888,17.78226
7.44264,0,15.84011,17.54196
7.155342,0,16.1007,17.34167
6.873762,45.37917,16.36117,17.18164
6.598595,44.60839,16.61057,17.05746
6.328515,43.86042,16.85109,16.9736
6.328515,43.86042,16.85109,16.9736
6.062226,43.13562,17.09357,16.93649
5.798603,42.43269,17.33919,16.94748
5.536708,41.75095,17.589,17.00775
5.275705,41.09003,17.79829,17.11853
5.014785,40.44991,17.97058,17.2811
5.014785,40.44991,17.97058,17.2811
4.753133,39.83168,18.14815,17.49881
4.489884,39.23513,18.33198,17.77151
4.224183,38.66052,18.51926,18.09976
3.969734,38.10848,18.62644,18.48434
3.716689,37.57988,18.74087,18.9259
3.716689,37.57988,18.74087,18.9259
3.51254,37.07682,18.86385,19.42734
3.332703,36.58109,18.99478,19.98926
3.187596,36.07708,19.04249,20.61191
3.072048,35.59696,19.10058,21.29553
2.97807,35.14236,19.1705,22.04077
2.918883,34.71522,19.21696,22.8486
2.918883,34.71522,19.21696,22.8486
2.868666,34.31616,19.21526,23.72287
2.858152,33.92319,19.22835,24.66492
2.844549,33.56345,19.25536,25.6756
2.875416,33.23988,19.20197,26.75568
2.894337,32.95592,19.16747,27.90579
2.894337,32.95592,19.16747,27.90579
2.956718,32.71693,19.15407,29.12991
3.008057,32.45697,19.06724,30.4277
3.088046,32.22203,18.99792,31.7991
3.164994,32.03773,18.95041,33.24396
3.256065,31.90807,18.83226,34.75833
3.352612,31.73988,18.74441,36.34259
3.352612,31.73988,18.74441,36.34259
3.448548,31.61026,18.65604,37.99707
3.559314,31.54237,18.53104,39.71722
3.654607,31.45111,18.44263,41.49872
3.77553,31.37638,18.31824,43.34177
3.876689,31.36952,18.20448,45.24179
3.876689,31.36952,18.20448,45.24179
3.993296,31.29607,18.11092,47.19705
4.100787,31.27785,17.97882,49.20303
4.206707,31.25888,17.89249,51.25525
4.319041,31.22625,17.76947,53.35284
4.41165,31.23335,17.67327,55.49136
4.41165,31.23335,17.67327,55.49136
4.528279,31.18806,17.57851,57.67014
4.624057,31.20193,17.47559,59.8848
4.726915,31.14783,17.40519,62.1311
