sensor-left,sensor-front,sensor-right,speed
sensor-left,sensor-front,sensor-right,speed
7.168541,20.89828,4.338761,21.70929
7.214338,20.46184,4.279148,21.61077
7.259287,19.95668,4.236338,21.51327
7.217288,19.457,4.215249,21.40511
7.198054,19.03322,4.237196,21.28421
7.197638,18.62749,4.246435,21.18424
7.123848,18.1678,4.34088,21.09313
7.031961,17.7046,4.421119,20.99565
6.960207,17.31956,4.550789,20.88436
6.884312,17.08146,4.688385,20.75616
6.733369,17.04495,4.816148,20.61378
6.612325,17.26206,4.98977,20.4589
6.52531,17.76887,5.130623,20.3223
6.345016,18.54908,5.279819,20.21482
6.189062,19.54619,5.462589,20.12506
6.06584,20.68489,5.629546,20.04182
5.89314,21.84503,5.804523,19.95938
5.691996,22.96358,5.997869,19.87628
5.514362,24.01444,6.181867,19.79292
5.356035,24.97572,6.357044,19.7095
5.164371,25.82703,6.524134,19.62618
4.978504,26.81447,6.678282,19.53694
4.892036,27.49354,6.748465,19.48679
4.734253,28.81221,6.869633,19.36786
4.595812,30.17879,6.972487,19.27136
4.474577,31.10778,7.064418,19.18876
4.367826,31.66871,7.149679,19.10918
4.231329,31.91067,7.264396,18.98995
4.153833,31.92764,7.331927,18.91065
4.086002,31.76245,7.392054,18.83087
4.030867,31.47662,7.43994,18.75073
3.98542,31.21756,7.479059,18.67132
3.947533,30.9271,7.511783,18.59219
3.919036,30.49951,7.535349,18.51354
3.896152,29.96516,7.553906,18.45199
3.87607,29.36796,7.570439,18.42393
3.857672,28.74089,7.585948,18.42838
3.840883,28.10314,7.600318,18.46718
3.825999,27.47286,7.613121,18.53992
3.813196,26.82558,7.624126,18.64305
3.804827,26.25199,7.630752,18.77194
3.803442,25.99757,7.631341,18.84006
3.809973,25.64119,7.624128,18.99211
3.827296,25.4093,7.609151,19.17223
3.852563,25.19495,7.589787,19.36135
3.88289,24.91307,7.567703,19.55074
3.917575,24.5527,7.542331,19.74063
3.956685,24.08881,7.51286,19.93058
4.000099,23.51781,7.479014,20.12004
4.052291,22.91599,7.43458,20.31777
4.117107,22.34634,7.377351,20.50038
4.196432,21.87427,7.309286,20.67098
4.295743,21.55614,7.228626,20.8328
4.426492,21.42794,7.127751,20.97081
4.587419,21.33403,7.010395,21.12568
4.773797,21.21334,6.879477,21.28564
4.965917,21.0914,6.734645,21.42303
5.11972,20.90222,6.574292,21.52884
5.287221,20.50916,6.396863,21.6015
5.467707,20.04021,6.203878,21.64187
5.539105,19.78396,6.128308,21.65357
5.605356,19.23169,5.967492,21.63581
5.681162,18.6313,5.807997,21.58584
5.765077,17.98894,5.73739,21.50876
5.796246,17.35335,5.656999,21.41403
5.78407,16.77846,5.645229,21.30773
5.791572,16.28596,5.640583,21.18703
5.824199,15.83414,5.644737,21.04883
5.761804,15.50702,5.68883,20.89755
5.740236,15.39436,5.701099,20.81857
5.724479,15.27729,5.707356,20.64843
5.720242,15.25502,5.764478,20.47192
5.653402,15.22028,5.793989,20.2913
5.634367,15.33105,5.797258,20.10628
5.649954,15.53927,5.821972,19.92367
5.601446,15.74547,5.835616,19.75433
5.612301,16.15566,5.823118,19.60649
5.664205,16.47521,5.788058,19.4903
5.650987,16.86385,5.781652,19.39639
5.695968,17.33755,5.760611,19.27846
5.787915,17.95366,5.714028,19.13706
5.821094,18.89063,5.642366,18.97842
5.921481,20.27037,5.585602,18.80917
6.070505,22.27583,5.519783,18.63309
6.166671,25.25248,5.429697,18.45677
6.337855,29.88137,5.314228,18.29638
6.549338,37.53498,5.182752,18.16399
6.715963,51.64571,5.067161,18.05981
6.947267,73.70929,4.921887,17.97502
7.186135,80.79595,4.742178,17.89963
7.366119,84.58463,4.540551,17.82745
7.564204,87.08679,4.374043,17.74964
7.755142,68.82635,4.192469,17.66965
7.827844,72.15129,3.997402,17.58813
7.918913,73.40791,3.85709,17.52408
8.0316,73.92769,3.686757,17.4866
8.128312,73.96006,3.531763,17.47273
8.165201,73.73808,3.466858,17.51971
8.215846,73.39564,3.400287,17.576
8.280392,19.58954,3.32805,17.6612
8.342347,18.73429,3.272963,17.78229
8.389881,18.79583,3.216403,17.92418
8.421278,20.04386,3.159784,18.06947
8.440445,22.60868,3.108371,18.25158
8.436696,24.44214,3.085513,18.34904
8.33698,29.25315,3.044985,18.546
8.255268,61.5989,3.009959,18.73739
8.186542,58.26835,2.979125,18.92731
8.127352,76.34174,2.952082,19.11824
8.076373,75.06925,2.928699,19.30962
8.053876,74.39828,2.918348,19.40521
8.014834,73.11639,2.900275,19.59582
7.983596,71.91072,2.885584,19.78541
7.959692,70.76553,2.874122,19.97393
7.942434,69.66851,2.865666,20.16147
7.931056,68.15229,2.859977,20.34816
7.924841,67.01807,2.856856,20.53412
7.923234,65.92332,2.856069,20.71942
7.925805,64.86016,2.857438,20.90405
7.932211,63.82248,2.860793,21.08801
7.936779,63.31168,2.863162,21.17973
7.948483,62.30359,2.869206,21.36263
7.963439,61.31051,2.876862,21.54482
